modelo,seed,mae,rmse,mape,mase
MLP,42,7.5658,9.7942,16.3757,0.9986
MLP,123,7.3241,9.6477,14.7877,0.9662
MLP,7,7.629,10.0979,15.5361,1.0069
MLP,2024,7.4417,9.7347,15.8366,0.9821
MLP,99,8.0065,10.5299,16.5444,1.0569
LSTM,42,6.1728,7.9993,12.3092,0.8134
LSTM,123,6.2007,8.0415,12.2383,0.8169
LSTM,7,6.1602,7.9911,12.1478,0.8117
LSTM,2024,6.1656,8.0025,12.202,0.8124
LSTM,99,6.1666,8.0027,12.1483,0.8125
GRU,42,6.2047,8.0561,12.2355,0.8176
GRU,123,6.294,8.2126,12.1229,0.8294
GRU,7,6.1882,8.0341,12.126,0.8153
GRU,2024,6.1892,8.0308,12.2398,0.8156
GRU,99,6.1845,8.0281,12.192,0.8148
